"Iteration","geo_entity2","PlotID","Plot_Area"
73,"Maui Nui",357,504.34
74,"Maui Nui",345,672.45
74,"Maui Nui",176,1000
74,"Maui Nui",515,168.11
74,"Maui Nui",294,1000
74,"Maui Nui",222,1000
74,"Maui Nui",349,504.34
74,"Maui Nui",378,672.45
74,"Maui Nui",30,1000
74,"Maui Nui",356,504.34
74,"Maui Nui",44,1000
75,"Maui Nui",350,672.45
75,"Maui Nui",222,1000
75,"Maui Nui",348,672.45
75,"Maui Nui",34,1000
75,"Maui Nui",442,336.23
75,"Maui Nui",356,504.34
75,"Maui Nui",179,1000
75,"Maui Nui",378,672.45
75,"Maui Nui",44,1000
75,"Maui Nui",525,504.34
76,"Maui Nui",44,1000
76,"Maui Nui",378,672.45
76,"Maui Nui",294,1000
76,"Maui Nui",178,1000
76,"Maui Nui",459,168.11
76,"Maui Nui",348,672.45
76,"Maui Nui",222,1000
76,"Maui Nui",20,1000
76,"Maui Nui",515,168.11
76,"Maui Nui",30,1000
77,"Maui Nui",439,336.23
77,"Maui Nui",294,1000
77,"Maui Nui",357,504.34
77,"Maui Nui",219,1000
77,"Maui Nui",222,1000
77,"Maui Nui",349,504.34
77,"Maui Nui",442,336.23
77,"Maui Nui",348,672.45
77,"Maui Nui",37,1000
77,"Maui Nui",35,1000
78,"Maui Nui",219,1000
78,"Maui Nui",356,504.34
78,"Maui Nui",350,672.45
78,"Maui Nui",439,336.23
78,"Maui Nui",299,672.45
78,"Maui Nui",294,1000
78,"Maui Nui",357,504.34
78,"Maui Nui",37,1000
78,"Maui Nui",179,1000
78,"Maui Nui",20,1000
79,"Maui Nui",459,168.11
79,"Maui Nui",349,504.34
79,"Maui Nui",34,1000
79,"Maui Nui",350,672.45
79,"Maui Nui",178,1000
79,"Maui Nui",377,168.11
79,"Maui Nui",222,1000
79,"Maui Nui",44,1000
79,"Maui Nui",525,504.34
79,"Maui Nui",299,672.45
80,"Maui Nui",178,1000
80,"Maui Nui",222,1000
80,"Maui Nui",459,168.11
80,"Maui Nui",358,504.34
80,"Maui Nui",356,504.34
80,"Maui Nui",35,1000
80,"Maui Nui",179,1000
80,"Maui Nui",348,672.45
80,"Maui Nui",357,504.34
80,"Maui Nui",175,1000
81,"Maui Nui",452,672.45
81,"Maui Nui",35,1000
81,"Maui Nui",525,504.34
81,"Maui Nui",30,1000
81,"Maui Nui",177,1000
81,"Maui Nui",176,1000
81,"Maui Nui",343,504.34
81,"Maui Nui",356,504.34
81,"Maui Nui",515,168.11
81,"Maui Nui",25,1000
82,"Maui Nui",452,672.45
82,"Maui Nui",377,168.11
82,"Maui Nui",515,168.11
82,"Maui Nui",378,672.45
82,"Maui Nui",356,504.34
82,"Maui Nui",180,1000
82,"Maui Nui",294,1000
82,"Maui Nui",219,1000
82,"Maui Nui",357,504.34
82,"Maui Nui",34,1000
83,"Maui Nui",20,1000
83,"Maui Nui",356,504.34
83,"Maui Nui",515,168.11
83,"Maui Nui",219,1000
83,"Maui Nui",294,1000
83,"Maui Nui",525,504.34
83,"Maui Nui",343,504.34
83,"Maui Nui",439,336.23
83,"Maui Nui",176,1000
83,"Maui Nui",358,504.34
84,"Maui Nui",44,1000
84,"Maui Nui",179,1000
84,"Maui Nui",222,1000
84,"Maui Nui",142,1000
84,"Maui Nui",345,672.45
84,"Maui Nui",459,168.11
84,"Maui Nui",29,1000
84,"Maui Nui",343,504.34
84,"Maui Nui",356,504.34
84,"Maui Nui",299,672.45
85,"Maui Nui",452,672.45
85,"Maui Nui",180,1000
85,"Maui Nui",44,1000
85,"Maui Nui",348,672.45
85,"Maui Nui",34,1000
85,"Maui Nui",515,168.11
85,"Maui Nui",349,504.34
85,"Maui Nui",219,1000
85,"Maui Nui",356,504.34
85,"Maui Nui",358,504.34
86,"Maui Nui",343,504.34
86,"Maui Nui",176,1000
86,"Maui Nui",180,1000
86,"Maui Nui",358,504.34
86,"Maui Nui",299,672.45
86,"Maui Nui",350,672.45
86,"Maui Nui",29,1000
86,"Maui Nui",35,1000
86,"Maui Nui",377,168.11
86,"Maui Nui",34,1000
87,"Maui Nui",356,504.34
87,"Maui Nui",175,1000
87,"Maui Nui",452,672.45
87,"Maui Nui",142,1000
87,"Maui Nui",29,1000
87,"Maui Nui",377,168.11
87,"Maui Nui",442,336.23
87,"Maui Nui",378,672.45
87,"Maui Nui",299,672.45
87,"Maui Nui",20,1000
88,"Maui Nui",358,504.34
88,"Maui Nui",439,336.23
88,"Maui Nui",222,1000
88,"Maui Nui",175,1000
88,"Maui Nui",25,1000
88,"Maui Nui",345,672.45
88,"Maui Nui",348,672.45
88,"Maui Nui",459,168.11
88,"Maui Nui",452,672.45
88,"Maui Nui",350,672.45
89,"Maui Nui",345,672.45
89,"Maui Nui",378,672.45
89,"Maui Nui",348,672.45
89,"Maui Nui",179,1000
89,"Maui Nui",35,1000
89,"Maui Nui",377,168.11
89,"Maui Nui",459,168.11
89,"Maui Nui",177,1000
89,"Maui Nui",29,1000
89,"Maui Nui",219,1000
90,"Maui Nui",176,1000
90,"Maui Nui",178,1000
