"m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","geo_entity2","iteration"
1000,"interpolated",1,4.706,4.626,4.786,0.999,0.999,0.999,"O'ahu Island",10
10000,"interpolated",1,4.737,4.656,4.818,1,1,1,"O'ahu Island",10
1000,"interpolated",2,3.101,3.039,3.163,0.999,0.999,0.999,"O'ahu Island",10
10000,"interpolated",2,3.107,3.045,3.169,1,1,1,"O'ahu Island",10
1000,"interpolated",0,9.619,9.435,9.804,1,0.999,1,"Hawai'i Island",11
10000,"interpolated",0,10,10,10,1,1,1,"Hawai'i Island",11
1000,"interpolated",1,2.743,2.688,2.798,1,0.999,1,"Hawai'i Island",11
10000,"interpolated",1,2.755,2.7,2.81,1,1,1,"Hawai'i Island",11
1000,"interpolated",2,1.719,1.692,1.746,1,0.999,1,"Hawai'i Island",11
10000,"interpolated",2,1.72,1.693,1.748,1,1,1,"Hawai'i Island",11
1000,"interpolated",0,8.893,8.688,9.097,0.998,0.998,0.999,"Kaua'i Island",11
10000,"interpolated",0,10.91,10.725,11.094,1,1,1,"Kaua'i Island",11
1000,"interpolated",1,2.359,2.334,2.385,0.998,0.998,0.999,"Kaua'i Island",11
10000,"interpolated",1,2.37,2.344,2.396,1,1,1,"Kaua'i Island",11
1000,"interpolated",2,1.685,1.672,1.699,0.998,0.998,0.999,"Kaua'i Island",11
10000,"interpolated",2,1.686,1.673,1.7,1,1,1,"Kaua'i Island",11
1000,"interpolated",0,15.974,15.794,16.154,0.999,0.999,0.999,"Maui Nui",11
10000,"interpolated",0,16.998,16.983,17.013,1,1,1,"Maui Nui",11
1000,"interpolated",1,7.172,7.109,7.234,0.999,0.999,0.999,"Maui Nui",11
10000,"interpolated",1,7.226,7.163,7.289,1,1,1,"Maui Nui",11
1000,"interpolated",2,5.666,5.609,5.724,0.999,0.999,0.999,"Maui Nui",11
10000,"interpolated",2,5.69,5.632,5.748,1,1,1,"Maui Nui",11
1000,"interpolated",0,12.826,12.631,13.021,0.998,0.998,0.999,"O'ahu Island",11
10000,"interpolated",0,14.895,14.702,15.088,1,1,1,"O'ahu Island",11
1000,"interpolated",1,4.076,4.038,4.114,0.998,0.998,0.999,"O'ahu Island",11
10000,"interpolated",1,4.102,4.064,4.14,1,1,1,"O'ahu Island",11
1000,"interpolated",2,3.219,3.195,3.243,0.998,0.998,0.999,"O'ahu Island",11
10000,"interpolated",2,3.225,3.201,3.249,1,1,1,"O'ahu Island",11
1000,"interpolated",0,12.836,12.746,12.925,0.999,0.999,1,"Hawai'i Island",12
10000,"interpolated",0,13,13,13,1,1,1,"Hawai'i Island",12
1000,"interpolated",1,4.932,4.852,5.011,0.999,0.999,1,"Hawai'i Island",12
10000,"interpolated",1,4.959,4.88,5.039,1,1,1,"Hawai'i Island",12
1000,"interpolated",2,3.554,3.481,3.627,0.999,0.999,1,"Hawai'i Island",12
10000,"interpolated",2,3.562,3.489,3.636,1,1,1,"Hawai'i Island",12
