"m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","geo_entity2","iteration","qD_pred"
"217",700,"interpolated",0,8.247,8.071,8.423,0.999,0.999,0.999,"Maui Nui","20",13.0407000574376
"218",800,"interpolated",0,8.316,8.13,8.501,0.999,0.999,1,"Maui Nui","20",13.4124407545958
"219",900,"interpolated",0,8.372,8.179,8.566,0.999,0.999,1,"Maui Nui","20",13.567588362846
"220",1000,"interpolated",0,8.421,8.22,8.622,1,0.999,1,"Maui Nui","20",13.7833113214636
"221",1,"interpolated",0,1,1,1,0.315,0.31,0.321,"Maui Nui","21",1.02001246810175
"222",100,"interpolated",0,8.454,8.329,8.579,0.981,0.981,0.982,"Maui Nui","21",8.31903446661933
"223",200,"interpolated",0,9.648,9.483,9.813,0.992,0.992,0.993,"Maui Nui","21",10.1229805702121
"224",300,"interpolated",0,10.256,10.069,10.442,0.995,0.995,0.996,"Maui Nui","21",11.0360684996406
"225",400,"interpolated",0,10.654,10.45,10.857,0.997,0.996,0.997,"Maui Nui","21",11.897340665704
"226",500,"interpolated",0,10.945,10.725,11.165,0.997,0.997,0.998,"Maui Nui","21",12.2840558128155
"227",600,"interpolated",0,11.171,10.934,11.409,0.998,0.998,0.998,"Maui Nui","21",12.8441970205628
"228",700,"interpolated",0,11.354,11.099,11.609,0.998,0.998,0.999,"Maui Nui","21",13.0407000574376
"229",800,"interpolated",0,11.506,11.235,11.778,0.999,0.998,0.999,"Maui Nui","21",13.4124407545958
"230",900,"interpolated",0,11.636,11.351,11.922,0.999,0.999,0.999,"Maui Nui","21",13.567588362846
"231",1000,"interpolated",0,11.749,11.451,12.048,0.999,0.999,0.999,"Maui Nui","21",13.7833113214636
"232",1,"interpolated",0,1,1,1,0.441,0.432,0.449,"Maui Nui","22",1.02001246810175
"233",100,"interpolated",0,8.917,8.75,9.084,0.977,0.975,0.978,"Maui Nui","22",8.31903446661933
"234",200,"interpolated",0,10.632,10.387,10.878,0.987,0.986,0.988,"Maui Nui","22",10.1229805702121
"235",300,"interpolated",0,11.709,11.427,11.991,0.991,0.991,0.992,"Maui Nui","22",11.0360684996406
"236",400,"interpolated",0,12.463,12.161,12.764,0.994,0.993,0.994,"Maui Nui","22",11.897340665704
"237",500,"interpolated",0,13.012,12.697,13.328,0.995,0.995,0.996,"Maui Nui","22",12.2840558128155
"238",600,"interpolated",0,13.426,13.097,13.755,0.996,0.996,0.997,"Maui Nui","22",12.8441970205628
"239",700,"interpolated",0,13.747,13.405,14.089,0.997,0.997,0.998,"Maui Nui","22",13.0407000574376
"240",800,"interpolated",0,14.002,13.647,14.357,0.998,0.997,0.998,"Maui Nui","22",13.4124407545958
"241",900,"interpolated",0,14.21,13.844,14.577,0.998,0.998,0.998,"Maui Nui","22",13.567588362846
"242",1000,"interpolated",0,14.385,14.008,14.761,0.998,0.998,0.999,"Maui Nui","22",13.7833113214636
"243",1,"interpolated",0,1,1,1,0.361,0.354,0.368,"Maui Nui","23",1.02001246810175
"244",100,"interpolated",0,10.152,9.972,10.332,0.968,0.967,0.969,"Maui Nui","23",8.31903446661933
"245",200,"interpolated",0,12.393,12.162,12.624,0.984,0.984,0.985,"Maui Nui","23",10.1229805702121
"246",300,"interpolated",0,13.585,13.319,13.851,0.991,0.99,0.992,"Maui Nui","23",11.0360684996406
"247",400,"interpolated",0,14.322,14.024,14.619,0.994,0.994,0.995,"Maui Nui","23",11.897340665704
"248",500,"interpolated",0,14.825,14.5,15.15,0.996,0.995,0.996,"Maui Nui","23",12.2840558128155
"249",600,"interpolated",0,15.196,14.847,15.546,0.997,0.996,0.997,"Maui Nui","23",12.8441970205628
"250",700,"interpolated",0,15.487,15.116,15.858,0.997,0.997,0.998,"Maui Nui","23",13.0407000574376
"251",800,"interpolated",0,15.725,15.336,16.114,0.998,0.998,0.998,"Maui Nui","23",13.4124407545958
"252",900,"interpolated",0,15.926,15.521,16.331,0.998,0.998,0.998,"Maui Nui","23",13.567588362846
