"geo_entity2","PlotID","beta_S","beta_ENS_PIE","Iteration"
"Kaua'i Island",194,1.8,0.502051919889073,17
"Kaua'i Island",195,3,1.36799724748279,17
"Hawai'i Island",212,8,2.67065501922181,17
"Hawai'i Island",216,8,2.67065501922181,17
"Kaua'i Island",218,27,4.92839008369459,17
"O'ahu Island",229,16,2.93643867260361,17
"Hawai'i Island",260,2,1.49738095822719,17
"Hawai'i Island",263,2.66666666666667,1.54904954600545,17
"Kaua'i Island",295,9,2.08630654599009,17
"O'ahu Island",300,4,1.01211313574455,17
"Kaua'i Island",308,9,2.12359672683591,17
"O'ahu Island",319,4,0.991637836115668,17
"Hawai'i Island",363,2,1.83265760489684,17
"Kaua'i Island",409,9,2.4036504248677,17
"O'ahu Island",437,16,2.93643867260361,17
"Kaua'i Island",460,13.5,4.75654059759334,17
"O'ahu Island",461,16,2.93643867260361,17
"Hawai'i Island",503,8,2.67065501922181,17
"Maui Nui",29,4,1.4316766959334,18
"Maui Nui",36,4,1.59460330845837,18
"Maui Nui",48,4,0.947255639931565,18
"O'ahu Island",50,3.6,1.77061257206569,18
"Hawai'i Island",70,11,2.25617723216898,18
"Hawai'i Island",102,11,2.25617723216898,18
"Hawai'i Island",133,1.57142857142857,0.833186268188655,18
"Hawai'i Island",139,1.83333333333333,0.917230075150917,18
"O'ahu Island",143,1.5,1.12954579675388,18
"Maui Nui",146,4,1.86141667274451,18
"Maui Nui",155,2.66666666666667,1.01002610435372,18
"Maui Nui",174,1.6,0.716680603429564,18
"Kaua'i Island",194,2.33333333333333,0.527658014646879,18
"Kaua'i Island",196,2.05882352941176,0.787006211846004,18
"Kaua'i Island",230,5.83333333333333,2.64834144696362,18
"Kaua'i Island",282,17.5,4.73026955362672,18
"O'ahu Island",288,9,2.45229650187457,18
"Kaua'i Island",295,11.6666666666667,2.19271419227945,18
"Hawai'i Island",301,5.5,2.07830638955978,18
"O'ahu Island",314,9,1.47138217157075,18
"Hawai'i Island",318,1.1,0.403288207798632,18
"O'ahu Island",319,4.5,0.925235195742166,18
"Hawai'i Island",347,5.5,2.18437975586075,18
"Maui Nui",364,5.33333333333333,1.38967445489994,18
"Kaua'i Island",409,11.6666666666667,2.52624352352053,18
"O'ahu Island",437,18,2.73980712623228,18
"Kaua'i Island",460,17.5,4.9991378757558,18
"O'ahu Island",461,18,2.73980712623228,18
"O'ahu Island",1,3.28571428571429,1.18923068798948,19
"Hawai'i Island",5,2.66666666666667,0.825270892159444,19
"Hawai'i Island",6,2,0.540677688131304,19
"Hawai'i Island",12,1.6,0.708557637746586,19
"Maui Nui",25,2.25,1.01666742742575,19
"Maui Nui",30,4.5,1.88824108705088,19
"Maui Nui",33,2.25,0.983766760534253,19
"Maui Nui",37,1.63636363636364,1.01357135664863,19
"O'ahu Island",141,3.28571428571429,1.42512442136902,19
"O'ahu Island",143,1.91666666666667,1.41623880546265,19
"Maui Nui",153,6,3.01632119650026,19
"Maui Nui",161,3,1.39160184233715,19
"Kaua'i Island",194,2.4,0.461450275105448,19
"Kaua'i Island",195,4,1.25736538630089,19
"Hawai'i Island",215,8,1.7026317849754,19
"Kaua'i Island",218,36,4.52982424696296,19
"Hawai'i Island",272,4,0.938513509884872,19
"Kaua'i Island",287,2.25,0.718023849549376,19
"O'ahu Island",288,11.5,3.0747203685198,19
"Kaua'i Island",295,12,1.91758400169874,19
"O'ahu Island",300,5.75,1.1840247032293,19
"O'ahu Island",314,11.5,1.84483757545109,19
"Maui Nui",349,9,2.40260769550113,19
"Hawai'i Island",395,2.66666666666667,1.30581982305143,19
"Kaua'i Island",409,12,2.2092638348193,19
"Kaua'i Island",460,18,4.37187247047006,19
"O'ahu Island",461,23,3.43520482551867,19
"Hawai'i Island",490,8,1.7026317849754,19
"O'ahu Island",1,2.14285714285714,1.51232409370549,20
"Hawai'i Island",12,2,0.604443659553502,20
"Maui Nui",19,8,4.61097892389576,20
"Maui Nui",28,4,3.01956792331798,20
"Maui Nui",46,5.33333333333333,3.4488164717705,20
"O'ahu Island",50,3,2.82315649813002,20
"Hawai'i Island",97,1.66666666666667,0.405656632595996,20
"Maui Nui",145,3.2,1.36278712503931,20
"Maui Nui",160,2.66666666666667,1.63544549461166,20
"O'ahu Island",173,3,3.50761400703637,20
"Kaua'i Island",194,2.13333333333333,0.314881176153832,20
