"m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","geo_entity2","iteration"
1000,"interpolated",0,8.875,8.794,8.956,1,0.999,1,"Kaua'i Island",7
1,"interpolated",0,1,1,1,0.563,0.552,0.574,"Maui Nui",7
100,"interpolated",0,7.287,7.121,7.452,0.978,0.978,0.979,"Maui Nui",7
200,"interpolated",0,8.825,8.628,9.022,0.989,0.989,0.99,"Maui Nui",7
300,"interpolated",0,9.638,9.447,9.83,0.994,0.994,0.994,"Maui Nui",7
400,"interpolated",0,10.114,9.942,10.286,0.996,0.996,0.997,"Maui Nui",7
500,"interpolated",0,10.411,10.263,10.56,0.998,0.997,0.998,"Maui Nui",7
600,"interpolated",0,10.604,10.48,10.728,0.998,0.998,0.999,"Maui Nui",7
700,"interpolated",0,10.731,10.629,10.834,0.999,0.999,0.999,"Maui Nui",7
800,"interpolated",0,10.817,10.733,10.901,0.999,0.999,0.999,"Maui Nui",7
900,"interpolated",0,10.875,10.806,10.943,1,0.999,1,"Maui Nui",7
1000,"interpolated",0,10.914,10.858,10.969,1,1,1,"Maui Nui",7
1,"interpolated",0,1,1,1,0.243,0.239,0.247,"O'ahu Island",7
100,"interpolated",0,8.276,8.049,8.503,0.972,0.97,0.974,"O'ahu Island",7
200,"interpolated",0,10.393,10.079,10.708,0.984,0.983,0.985,"O'ahu Island",7
300,"interpolated",0,11.714,11.351,12.077,0.989,0.989,0.99,"O'ahu Island",7
400,"interpolated",0,12.638,12.251,13.024,0.992,0.992,0.993,"O'ahu Island",7
500,"interpolated",0,13.32,12.925,13.714,0.994,0.994,0.995,"O'ahu Island",7
600,"interpolated",0,13.838,13.443,14.234,0.995,0.995,0.996,"O'ahu Island",7
700,"interpolated",0,14.24,13.849,14.631,0.996,0.996,0.997,"O'ahu Island",7
800,"interpolated",0,14.556,14.173,14.939,0.997,0.997,0.998,"O'ahu Island",7
900,"interpolated",0,14.807,14.433,15.18,0.998,0.997,0.998,"O'ahu Island",7
1000,"interpolated",0,15.008,14.646,15.37,0.998,0.998,0.998,"O'ahu Island",7
1,"interpolated",0,1,1,1,0.677,0.667,0.687,"Hawai'i Island",8
