"PlotID","Long_Dec","Lat_Dec","HFP","HII","SubstrateAge_range","SubstrateAge_code","MAT","MAP","PET","AridInd","Elev_m"
209,-154.952525,19.424302,34,22,62,100,21.2260608673096,2914.13891601562,3228.31811523438,0.902680222950723,283.214935302734
210,-154.952525,19.424302,34,22,62,100,21.2260608673096,2914.13891601562,3228.31811523438,0.902680222950723,283.214935302734
211,-154.952525,19.424302,34,22,62,100,21.2260608673096,2914.13891601562,3228.31811523438,0.902680222950723,283.214935302734
212,-154.952525,19.424302,34,22,62,100,21.2260608673096,2914.13891601562,3228.31811523438,0.902680222950723,283.214935302734
213,-154.952525,19.424302,34,22,62,100,21.2260608673096,2914.13891601562,3228.31811523438,0.902680222950723,283.214935302734
214,-154.952525,19.424302,34,22,62,100,21.2260608673096,2914.13891601562,3228.31811523438,0.902680222950723,283.214935302734
215,-154.952525,19.424302,34,22,62,100,21.2260608673096,2914.13891601562,3228.31811523438,0.902680222950723,283.214935302734
216,-154.952525,19.424302,34,22,62,100,21.2260608673096,2914.13891601562,3228.31811523438,0.902680222950723,283.214935302734
217,-154.952525,19.424302,34,22,62,100,21.2260608673096,2914.13891601562,3228.31811523438,0.902680222950723,283.214935302734
218,-159.412501,22.091171,28.0293464660645,18.0195636749268,2e+06,1500000,20.792049407959,2919.90893554688,2728.89501953125,1.06999679894188,325.575897216797
219,-156.290347,20.727622,28,18,545000,460000,11.4424896240234,912.881286621094,2141.5009765625,0.426281050819988,1904.75744628906
220,-155.283333333333,19.9166666666667,15,10,182000,95000,NA,NA,NA,NA,NA
221,-154.901906,19.482657,34,22,227,100,21.6718807220459,3135.31396484375,3033.14794921875,1.03368316262031,202.309799194336
222,-156.597297222222,20.8582972222222,28,18,NA,NA,18.1341400146484,2876.30590820312,2623.65698242188,1.09629647757842,776.899963378906
223,-159.574239,22.217716,34,22,4750000,5e+06,22.6005191802979,2561.70092773438,3911.68090820312,0.654884942777994,120.46231842041
224,-156.253849,20.800458,23.5070476531982,15.4269275665283,545000,460000,14.0573301315308,2598.00610351562,2420.34790039062,1.07340192833283,1420.69116210938
225,-154.869039,19.437316,34,22,575,475,23.0743007659912,2474.36694335938,3756.26904296875,0.658729956521903,38.1605529785156
226,-155.814841666667,19.11375,21,14,2250,2250,19.1719703674316,883.96142578125,1785.6259765625,0.495042879854918,669.570617675781
227,-155.814727777778,19.1160972222222,21,14,1125,1125,19.139440536499,894.14111328125,1686.81994628906,0.530075017934383,679.245178222656
228,-155.385557,19.494317,9.89616775512695,6.53770065307617,2250,2250,10.4599599838257,1663.05798339844,2110.4169921875,0.788023404642244,2034.16088867188
