"PlotIDn","Long_Dec","Lat_Dec","MAT","MAP","PrecipSeasonality","TempSeasonality","Elev_m","HFP","HII","PET","SubstrateAge_range","SubstrateAge_code"
66,-155.552124478822,19.3266895790475,13.381947517395,3277.00512695312,19.8703594207764,119.428276062012,2269.64697265625,9,6,1019.95690917969,1125,1125
67,-155.583347900272,19.2754549822518,14.1172924041748,3269.49536132812,19.4968643188477,117.805503845215,1946.40856933594,12.0119791030884,8.00798606872559,1070.54699707031,1125,1125
68,-155.565224744248,19.3103415040503,13.4965696334839,3231.369140625,19.7180557250977,118.387565612793,2217.3134765625,9,6,1027.43542480469,2250,2250
69,-155.560040835352,19.3084999252017,13.8180913925171,3356.97827148438,19.7554302215576,117.604202270508,2062.90893554688,9,6,1051.03405761719,2250,2250
70,-155.554350831744,19.3383345667375,13.2066488265991,3250.70166015625,19.9098834991455,121.030670166016,2353.45874023438,9,6,1006.62286376953,2250,2250
71,-155.591915228488,19.2554672899543,14.3132457733154,3238.45458984375,19.3841743469238,118.389625549316,1861.71008300781,15,10,1081.97644042969,20500,20000
72,-155.683889194518,19.1432738389637,16.3639373779297,2386.5712890625,19.7819194793701,124.365776062012,1307.71276855469,15,10,1183.9169921875,2250,2250
73,-155.680148282049,19.1222440072903,17.063835144043,2327.53393554688,19.9020690917969,124.526573181152,1171.9892578125,15,10,1209.92944335938,2250,2250
74,-155.679154107447,19.1041809102729,17.8793678283691,2094.91455078125,20.1973819732666,124.016311645508,1019.82385253906,15,10,1238.10986328125,2250,2250
75,-155.68128792746,19.1239881922151,17.0228672027588,2147.09692382812,20.1417903900146,124.531188964844,1177.24523925781,15,10,1208.81408691406,2250,2250
76,-155.679507713742,19.1078508767305,17.8793678283691,2094.91455078125,20.1973819732666,124.016311645508,1019.82385253906,15,10,1238.10986328125,2250,2250
77,-155.682259169056,19.1329495805133,16.6811695098877,2279.67944335938,19.9076519012451,124.603546142578,1242.87731933594,15,10,1195.23022460938,2250,2250
78,-155.579799994012,19.2656802620036,14.3626327514648,3305.49926757812,19.5320339202881,118.797813415527,1860.05505371094,15,10,1083.83911132812,1125,1125
79,-155.604026943525,19.2451272863195,14.2682085037231,3166.18798828125,19.2474365234375,117.996520996094,1883.505859375,15,10,1081.90319824219,2250,2250
80,-155.664037144528,19.1908970631664,14.9487533569336,2780.55908203125,19.168773651123,120.306602478027,1652.56994628906,15,10,1123.16613769531,475,475
81,-155.608034323164,19.2400133446564,14.2546806335449,3089.08422851562,19.1283588409424,117.751029968262,1875.61877441406,15,10,1081.5283203125,2250,2250
82,-155.600402175363,19.2516082987534,14.2682085037231,3166.18798828125,19.2474365234375,117.996520996094,1883.505859375,15,10,1081.90319824219,2250,2250
83,-155.608965711679,19.2448040587541,14.1091165542603,3059.419921875,19.1524391174316,117.222312927246,1928.4296875,15,10,1073.90380859375,2250,2250
84,-155.661838998027,19.1925001795034,14.9487533569336,2780.55908203125,19.168773651123,120.306602478027,1652.56994628906,15,10,1123.16613769531,475,475
85,-155.678143831242,19.1057397075502,17.8793678283691,2094.91455078125,20.1973819732666,124.016311645508,1019.82385253906,15,10,1238.10986328125,2250,2250
86,-155.671083862622,19.0967312383371,18.4366416931152,2214.5634765625,19.9346580505371,123.561935424805,918.692626953125,15,10,1257.20385742188,2250,2250
87,-155.683902712144,19.1200130798578,17.0228672027588,2147.09692382812,20.1417903900146,124.531188964844,1177.24523925781,15,10,1208.81408691406,2250,2250
88,-155.686461339889,19.1425228960872,16.3639373779297,2386.5712890625,19.7819194793701,124.365776062012,1307.71276855469,15,10,1183.9169921875,2250,2250
89,-155.686238044959,19.1398804591377,16.3639373779297,2386.5712890625,19.7819194793701,124.365776062012,1307.71276855469,15,10,1183.9169921875,2250,2250
90,-155.68572325221,19.1344882206077,16.6811695098877,2279.67944335938,19.9076519012451,124.603546142578,1242.87731933594,15,10,1195.23022460938,2250,2250
91,-155.675401426198,19.0970568203496,18.3709259033203,1984.54064941406,20.2963066101074,123.641784667969,937.442260742188,15,10,1254.31677246094,2250,2250
92,-155.683844219774,19.1169799437513,17.4185276031494,1985.20568847656,20.4804210662842,124.335594177246,1106.60607910156,15,10,1222.37817382812,2250,2250
93,-155.605898351223,19.2432223742085,14.4433374404907,3190.65600585938,19.2812442779541,118.725410461426,1811.88537597656,15,10,1092.88842773438,2250,2250
94,-155.677082015232,19.1217920382226,17.063835144043,2327.53393554688,19.9020690917969,124.526573181152,1171.9892578125,15,10,1209.92944335938,2250,2250
95,-155.578201057247,19.2692336450018,14.1172924041748,3269.49536132812,19.4968643188477,117.805503845215,1946.40856933594,12.0119791030884,8.00798606872559,1070.54699707031,1125,1125
96,-155.563582334876,19.2812419500488,14.1226625442505,3333.82495117188,19.6251258850098,118.026145935059,1963.00207519531,10.0559949874878,6.7039966583252,1068.73681640625,20500,20000
97,-155.660210412886,19.1934719514179,14.9487533569336,2780.55908203125,19.168773651123,120.306602478027,1652.56994628906,15,10,1123.16613769531,475,475
98,-155.684212244719,19.1509082514948,16.0628471374512,2473.63354492188,19.7146835327148,123.773979187012,1372.50354003906,15,10,1171.7646484375,2250,2250
99,-155.680511500287,19.1259138195881,17.0228672027588,2147.09692382812,20.1417903900146,124.531188964844,1177.24523925781,15,10,1208.81408691406,2250,2250
100,-155.68010685432,19.113196797704,17.4265727996826,2217.38916015625,20.0420379638672,124.310127258301,1103.42919921875,15,10,1222.72509765625,2250,2250
101,-155.223899691828,19.3756536653444,18.0664463043213,3771.9208984375,22.8023529052734,125.793556213379,1008.01971435547,26,17,1225.71325683594,300,475
102,-155.227346239639,19.3820512746222,17.8720073699951,3928.42919921875,22.7264728546143,126.139709472656,1047.78662109375,26,17,1215.15502929688,300,475
103,-155.167902044014,19.3592587798729,18.9737529754639,3840.30395507812,22.7073955535889,122.995376586914,835.273193359375,34,22,1252.36938476562,575,475
104,-155.117763161574,19.3544114828752,19.7719860076904,3888.57055664062,22.5885429382324,120.746536254883,696.8935546875,51.4772644042969,33.3181762695312,1277.81420898438,575,475
105,-155.139633361671,19.3698450204031,19.2527866363525,3915.26635742188,22.6261672973633,122.118782043457,794.221313476562,36.689094543457,23.7064685821533,1261.51770019531,575,475
106,-155.154253912668,19.3533511025826,19.0448398590088,3877.6474609375,22.6639041900635,122.656181335449,830.150695800781,34,22,1254.359375,575,475
107,-155.154523838139,19.3586860079112,19.0448398590088,3877.6474609375,22.6639041900635,122.656181335449,830.150695800781,34,22,1254.359375,575,475
108,-155.143011995836,19.3523727892095,19.1718883514404,3925.46557617188,22.6155681610107,122.233863830566,801.093383789062,34,22,1259.45275878906,575,475
109,-155.139969445707,19.3365205923323,19.6934204101562,3858.41796875,22.6083698272705,121.108932495117,722.704528808594,34,22,1275.0498046875,575,475
110,-155.218127837685,19.3781356890683,17.9475975036621,3999.50024414062,22.6668033599854,125.866539001465,1026.16723632812,26,17,1217.58068847656,300,475
111,-155.123203612092,19.3732891764644,19.4328765869141,3845.50244140625,22.6535491943359,121.661979675293,757.687622070312,38.4828224182129,25.0517635345459,1267.00170898438,300,475
112,-155.233072758158,19.3978772110509,17.4589157104492,4119.1689453125,22.721342086792,126.95849609375,1130.52844238281,23.7055950164795,15.4703960418701,1201.85546875,1033.5,475
113,-155.162682967342,19.3531789157941,19.0448398590088,3877.6474609375,22.6639041900635,122.656181335449,830.150695800781,34,22,1254.359375,575,475
114,-155.116714207279,19.3505577736643,19.9003772735596,3899.1005859375,22.5568351745605,120.446060180664,686.716247558594,49.2600402832031,31.8400268554688,1280.55944824219,575,475
115,-155.139304403031,19.3446304654864,19.4765911102295,3903.4521484375,22.6013221740723,121.496475219727,756.766052246094,36.0661392211914,23.2396831512451,1267.51062011719,575,475
116,-155.120244448144,19.3446455891584,19.9003772735596,3899.1005859375,22.5568351745605,120.446060180664,686.716247558594,49.2600402832031,31.8400268554688,1280.55944824219,575,475
117,-155.229083220181,19.3852002007579,17.6886367797852,4103.68994140625,22.675313949585,126.45881652832,1083.06018066406,26.2042064666748,17.1021022796631,1208.53173828125,300,475
118,-155.119839642715,19.3604481087408,19.688159942627,3860.78271484375,22.6225090026855,120.976943969727,706.316528320312,45.5879859924316,29.4924926757812,1276.01196289062,575,475
119,-155.157945513526,19.3634235606367,18.8928451538086,3959.49926757812,22.6227893829346,122.99674987793,867.622924804688,34,22,1248.72534179688,575,475
120,-155.12548134628,19.3735245182658,19.4328765869141,3845.50244140625,22.6535491943359,121.661979675293,757.687622070312,38.4828224182129,25.0517635345459,1267.00170898438,300,475
121,-155.13097607589,19.3510688630787,19.6644477844238,3908.77319335938,22.5754795074463,121.012664794922,721.739929199219,45.4218711853027,29.2812461853027,1274.71447753906,575,475
122,-155.255115670633,19.499022618665,16.7476692199707,4807.50244140625,22.8964309692383,129.072372436523,1284.46374511719,21,14,1167.0966796875,8000,7500
123,-155.230487276563,19.4685293289264,17.5258445739746,4610.81494140625,22.78395652771,127.863868713379,1120.60534667969,37,24,1198.75439453125,8000,7500
124,-155.214078862257,19.4775638486691,17.742015838623,4612.32080078125,22.7940006256104,127.539863586426,1069.53247070312,32.0762634277344,20.922664642334,1206.69421386719,8000,7500
125,-155.236486925788,19.5177690551356,17.3432140350342,4742.5166015625,22.9383220672607,128.635238647461,1159.39916992188,21,14,1191.12133789062,1125,1125
126,-155.263877585745,19.4976306917398,16.5108509063721,4814.21533203125,22.9091911315918,128.904449462891,1322.38781738281,21,14,1159.357421875,8000,7500
127,-155.263030962624,19.4935950898471,16.7476692199707,4807.50244140625,22.8964309692383,129.072372436523,1284.46374511719,21,14,1167.0966796875,8000,7500
128,-155.24763251289,19.5019878384174,17.0249309539795,4799.4912109375,22.9044075012207,128.948806762695,1217.9658203125,21,14,1178.32800292969,8000,7500
129,-155.26652888783,19.4965227294449,16.5108509063721,4814.21533203125,22.9091911315918,128.904449462891,1322.38781738281,21,14,1159.357421875,8000,7500
130,-155.251560812603,19.4940362175167,17.0279388427734,4784.859375,22.8815174102783,128.868209838867,1214.54479980469,21,14,1178.5263671875,8000,7500
131,-155.249886218083,19.4748555348422,17.1347370147705,4636.3056640625,22.8123798370361,128.555435180664,1194.52514648438,37,24,1187.09399414062,8000,7500
