"Family","SPP_CODE3","SPP_CODE3A","Accepted_name_species","Genus","Species","Native_Status_USDA","Native_Status_HawFlora","Native_Status_HawFlora_simple","Is_Angio","Order","Monocot"
49,"COPLON","COPLON","Coprosma longifolia","Coprosma","longifolia",NA,"Endemic","native",1,"Gentianales",0
49,"PSYKAD","PSYKAD","Psychotria kaduana","Psychotria","kaduana",NA,"Endemic","native",1,"Gentianales",0
49,"M28","PSYSPP","Psychotria spp1","Psychotria","spp1",NA,NA,"native",1,"Gentianales",0
49,"PSYODO","PSYODO","Psydrax odorata","Psydrax","odorata",NA,"Indigenous","native",1,"Gentianales",0
49,"HEDHIL","HEDHIL","Kadua axillaris","Kadua","axillaris",NA,"Endemic","native",1,"Gentianales",0
49,"PSYGRA","PSYGRA","Psychotria grandiflora","Psychotria","grandiflora",NA,"Endemic","native",1,"Gentianales",0
49,"M40","COPSPP","Coprosma spp3","Coprosma","spp3",NA,NA,"native",1,"Gentianales",0
49,"PSYGRE","PSYGRE","Psychotria greenwelliae","Psychotria","greenwelliae",NA,"Endemic","native",1,"Gentianales",0
49,"M59","PSYSPP","Psychotria spp2","Psychotria","spp2",NA,NA,"native",1,"Gentianales",0
49,"COPFOL","COPFOL","Coprosma foliosa","Coprosma","foliosa",NA,"Endemic","native",1,"Gentianales",0
49,"COPOCH","COPOCH","Coprosma ochracea","Coprosma","ochracea",NA,"Endemic","native",1,"Gentianales",0
49,"M39","HEYSPP","Hedyotis spp1","Hedyotis","spp1",NA,NA,"uncertain",1,"Gentianales",0
50,"M58","MELSPP","Melicope spp2","Melicope","spp2",NA,NA,"uncertain",1,"Sapindales",0
50,"FLIBRA","FLIBRA","Flindersia brayleyana","Flindersia","brayleyana",NA,"Naturalized","alien",1,"Sapindales",0
50,"PLASPA","PLASPA","Platydesma spathulatum","Platydesma","spathulatum",NA,"Endemic","native",1,"Sapindales",0
50,"MELHAL","MELHAL","Melicope haleakalae","Melicope","haleakalae",NA,"Endemic","native",1,"Sapindales",0
50,"M74","MELSPP","Melicope spp3","Melicope","spp3",NA,NA,"uncertain",1,"Sapindales",0
50,"MELANI","MELANI","Melicope anisata","Melicope","anisata",NA,"Endemic","native",1,"Sapindales",0
50,"MELOAH","MELOAH","Melicope oahuensis","Melicope","oahuensis",NA,"Endemic","native",1,"Sapindales",0
50,"MELVOL","MELVOL","Melicope volcanica","Melicope","volcanica",NA,"Endemic","native",1,"Sapindales",0
50,"M90","MELSPP","Melicope spp6","Melicope","spp6",NA,NA,"uncertain",1,"Sapindales",0
50,"MELKAA","MELKAA","Melicope kaalaensis","Melicope","kaalaensis",NA,"Endemic","native",1,"Sapindales",0
49,"M62","PSYSPP","Psychotria spp3","Psychotria","spp3",NA,NA,"native",1,"Gentianales",0
50,"M76","MELSPP","Melicope spp5","Melicope","spp5",NA,NA,"uncertain",1,"Sapindales",0
50,"M75","MELSPP","Melicope spp4","Melicope","spp4",NA,NA,"uncertain",1,"Sapindales",0
