"Long_Dec","Lat_Dec","PlotIDn","CellID","MAT","MAP","PrecipSeasonality","TempSeasonality","Elev_m","HFP","HII","PET"
-157.99,21.52,359,29253282,20.984920501709,1167.37670898438,42.2816467285156,137.167953491211,402.688873291016,58.5267486572266,37.6845016479492,1323.09948730469
-155.83,19.77,360,32120784,17.7719917297363,1344.79528808594,24.2321109771729,135.910629272461,1115.58666992188,18,12,1208.49279785156
-155.61,19.18,361,33085630,16.9246959686279,2941.46264648438,20.2713851928711,125.574905395508,1193.94860839844,15,10,1200.56628417969
-156.1,20.74,362,30530836,13.7511291503906,5415.27001953125,29.8256092071533,124.076286315918,1737.6728515625,18,12,1101.04553222656
-155.21,19.45,363,32650818,17.9689445495605,4469.41943359375,22.6414623260498,126.738342285156,1021.67260742188,43,28,1215.76831054688
-156.21,20.8,364,30435702,15.5704879760742,6274.35791015625,29.1109752655029,134.867462158203,1323.08166503906,18,12,1150.994140625
-156.16,20.75,365,30517241,12.9246482849121,5095.935546875,29.3630962371826,121.099838256836,1980.04431152344,26,17,1074.42956542969
-155.64,19.18,366,33085627,15.548451423645,2929.31982421875,19.8735866546631,122.901580810547,1494.66064453125,15,10,1148.6767578125
-155.59,19.14,367,33153577,19.8225116729736,2647.041015625,20.337230682373,123.480766296387,693.380432128906,15,10,1293.48803710938
-155.27,19.63,368,32351853,17.0536231994629,4634.22509765625,23.3652095794678,130.028732299805,1202.74755859375,10,7,1176.83215332031
-155.21,19.57,369,32446982,18.3376922607422,4532.48388671875,23.0195541381836,127.347320556641,958.133728027344,26.2192840576172,16.9824485778809,1222.46435546875
-155.54,19.25,370,32976924,16.6306037902832,3276.060546875,21.0083980560303,127.100051879883,1286.59899902344,15,10,1181.12670898438
-155.83,19.27,371,32936129,16.4829940795898,983.414123535156,18.4656410217285,127.473159790039,1324.28503417969,20,13,1182.94006347656
-155.63,20.11,372,31563651,20.8606929779053,2265.84423828125,26.9082069396973,129.973068237305,326.380249023438,28,18,1278.1201171875
-155.57,19.23,373,33004099,16.2660446166992,3184.5205078125,20.6560897827148,125.838905334473,1365.27465820312,15,10,1169.47802734375
-157.94,21.62,374,29090218,23.0455436706543,2801.67651367188,37.5712394714355,137.200469970703,131.433715820312,54.0828628540039,35.0497169494629,1347.73840332031
-155.26,20,375,31740345,23.5321216583252,3172.8037109375,24.8341541290283,122.172950744629,94.0796737670898,22.8857173919678,15.1785736083984,1333.63366699219
-158.01,21.68,376,28995087,23.1819019317627,2770.32788085938,37.18359375,137.759811401367,125.278503417969,49.9273986816406,32.2363014221191,1361.75634765625
-156.53,20.98,377,30136712,24.7298164367676,5426.9453125,32.3140487670898,129.188369750977,100,28.4963073730469,20.3292045593262,1384.072265625
-156.62,21,378,30109525,22.8637542724609,6047.3662109375,32.496955871582,129.224578857422,204.591430664062,48,31,1353.40844726562
-154.88,19.55,379,32474192,24.2571754455566,2896.05297851562,21.6369972229004,112.934364318848,30.9747047424316,28.3407745361328,18.2555809020996,1398.52905273438
-155,19.7,380,32229577,24.3219051361084,2907.37109375,22.611400604248,117.063514709473,17.593355178833,48,31,1389.39990234375
-154.87,19.44,381,32664440,24.1934623718262,2945.51318359375,21.9279155731201,111.684936523438,46.9217109680176,34,22,1395.88818359375
